FIPS,GEO_ID,NAME,B19013_001E
13101,0500000US13101,"Echols County, Georgia",44454
13103,0500000US13103,"Effingham County, Georgia",67050
13105,0500000US13105,"Elbert County, Georgia",39323
13107,0500000US13107,"Emanuel County, Georgia",38423
13109,0500000US13109,"Evans County, Georgia",46392
13111,0500000US13111,"Fannin County, Georgia",46028
13113,0500000US13113,"Fayette County, Georgia",93777
13115,0500000US13115,"Floyd County, Georgia",50657
13117,0500000US13117,"Forsyth County, Georgia",112834
13119,0500000US13119,"Franklin County, Georgia",47821
13121,0500000US13121,"Fulton County, Georgia",72741
13123,0500000US13123,"Gilmer County, Georgia",57376
13125,0500000US13125,"Glascock County, Georgia",46500
13127,0500000US13127,"Glynn County, Georgia",56952
13129,0500000US13129,"Gordon County, Georgia",48662
13131,0500000US13131,"Grady County, Georgia",48047
13133,0500000US13133,"Greene County, Georgia",57880
13135,0500000US13135,"Gwinnett County, Georgia",72787
13137,0500000US13137,"Habersham County, Georgia",54147
13139,0500000US13139,"Hall County, Georgia",63651
13141,0500000US13141,"Hancock County, Georgia",32914
13143,0500000US13143,"Haralson County, Georgia",52021
13145,0500000US13145,"Harris County, Georgia",79860
13147,0500000US13147,"Hart County, Georgia",45874
13149,0500000US13149,"Heard County, Georgia",50583
13151,0500000US13151,"Henry County, Georgia",71110
13153,0500000US13153,"Houston County, Georgia",65870
13155,0500000US13155,"Irwin County, Georgia",41484
13157,0500000US13157,"Jackson County, Georgia",68307
13159,0500000US13159,"Jasper County, Georgia",52409
13161,0500000US13161,"Jeff Davis County, Georgia",36987
13163,0500000US13163,"Jefferson County, Georgia",37009
13165,0500000US13165,"Jenkins County, Georgia",25712
13167,0500000US13167,"Johnson County, Georgia",42421
13169,0500000US13169,"Jones County, Georgia",63046
13171,0500000US13171,"Lamar County, Georgia",50088
13173,0500000US13173,"Lanier County, Georgia",32158
13175,0500000US13175,"Laurens County, Georgia",39476
13177,0500000US13177,"Lee County, Georgia",68338
13179,0500000US13179,"Liberty County, Georgia",50411
13181,0500000US13181,"Lincoln County, Georgia",42036
13183,0500000US13183,"Long County, Georgia",52099
13185,0500000US13185,"Lowndes County, Georgia",46113
13187,0500000US13187,"Lumpkin County, Georgia",52872
13189,0500000US13189,"McDuffie County, Georgia",47327
13191,0500000US13191,"McIntosh County, Georgia",56262
13193,0500000US13193,"Macon County, Georgia",31910
13195,0500000US13195,"Madison County, Georgia",51142
13197,0500000US13197,"Marion County, Georgia",52450
13199,0500000US13199,"Meriwether County, Georgia",40769
13201,0500000US13201,"Miller County, Georgia",49771
13205,0500000US13205,"Mitchell County, Georgia",39404
13207,0500000US13207,"Monroe County, Georgia",60491
13209,0500000US13209,"Montgomery County, Georgia",45230
13211,0500000US13211,"Morgan County, Georgia",68669
13213,0500000US13213,"Murray County, Georgia",51133
13215,0500000US13215,"Muscogee County, Georgia",47418
13217,0500000US13217,"Newton County, Georgia",59178
13219,0500000US13219,"Oconee County, Georgia",95064
13221,0500000US13221,"Oglethorpe County, Georgia",52816
13223,0500000US13223,"Paulding County, Georgia",74154
